Pais,Area,poblacion,Namerica,Samerica,Europe,Asia,Oceania,Africa,lat,longitud,Dia_inicio,PIB,Gasto_Salud,1,2,3,4,6
Grenada,344.0,112003.0,1, 0, 0, 0, 0, 0,12.1165,-61.679,60,1238.0,2.17,1,1,1,1,7
Mozambique,801590.0,30066648.0,0, 0, 0, 0, 0, 1,-18.665695,35.529562,60,15093.0,2.7,1,1,3,5,7
Syria,185180.0,17500657.0,0, 0, 0, 1, 0, 0,34.802075,38.99681500000001,60,60043.0,1.61,1,1,1,5,5
Timor-Leste,14919.0,1387149.0,0, 0, 0, 1, 0, 0,-8.874217,125.727539,60,2938.0,2.24,1,1,1,1,1
Belize,22966.0,408487.0,1, 0, 0, 0, 0, 0,13.1939,-59.5432,61,2001.0,4.06,1,1,2,2,2
Laos,236800.0,7123205.0,0, 0, 0, 1, 0, 0,19.85627,102.495496,62,19127.0,0.76,2,3,6,6,8
Libya,1759540.0,6871287.0,0, 0, 0, 0, 0, 1,26.3351,17.228331,62,33018.0,3.83,1,1,1,1,8
Guinea-Bissau,36125.0,1604528.0,0, 0, 0, 0, 0, 1,11.8037,-15.1804,63,1458.0,2.69,2,2,2,2,8
Mali,1240192.0,19973000.0,0, 0, 0, 0, 0, 1,17.570692,-3.996166000000001,63,17647.0,1.21,2,4,11,18,25
Saint Kitts and Nevis,261.0,52823.0,1, 0, 0, 0, 0, 0,17.357822,-62.782998,63,1032.0,2.45,2,2,2,2,7
Burma,676578.0,54339766.0,0, 0, 0, 1, 0, 0,21.9162,95.956,65,65994.0,1.02,8,8,10,14,15
